馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,テイエムヒショウ,牡6,田山,栗東・浜田,先行,74.0,11,14,,39.1,504(-6),京都,139,中19週,Y,,3,ヘニーヒューズ,タイキシャトル,,B
2,1,トゥロン,牝4,,栗東・井上,差し,79.6,14,13,,37.8,530(+4),中京,49,中6週,Y,,3,ナダル,シンボリクリスエス,,
3,2,マッシャーブルム,牡5,鮫島良,栗東・河嶋,先行,74.0,12,13,,39.2,528(+2),小倉,62,中8週,Y,,3,モーニン,キングヘイロー,,
4,2,ニューオーリンズ,牡4,和田陽,栗東・杉山晴,,3.4,2,3,,37.5,522(+4),中京,49,中6週,Y,,3,リアルスティール,クロフネ,,B
5,3,サンダーバース,セ5,角田和,栗東・井上,先行,30.6,7,2,,37.1,476(+4),中京,28,中3週,Y,,3,サンダースノー,リキアイサイレンス,,B
6,3,メイショウツヨキ,牡4,武豊,栗東・飯田,逃げ,10.3,4,4,,36.4,476(+6),東京,105,中14週,Y,,3,アドマイヤマーズ,シニスターミニスター,,
7,4,ハクサンアイリス,牡4,川田,栗東・高橋一,先行,12.0,5,4,,36.7,492(+8),新潟,35,中4週,Y,,3,ハクサンムーン,デュランダル,,
8,4,キャピタルサックス,牡5,松若,栗東・杉山晴,差し,20.5,6,9,,36.2,504(-2),東京,98,中13週,Y,,3,リオンディーズ,クロフネ,,
9,5,リサシテーション,牡3,菱田,栗東・岡田,差し,8.1,3,8,,38.0,464(0),中京,49,中6週,Y,,3,リオンディーズ,ワイルドラッシュ,,
10,5,カルパ,牡5,酒井,栗東・須貝,差し,45.4,10,9,,38.5,458(+10),小倉,62,中8週,Y,,3,モーリス,キングカメハメハ,,
11,6,エムズマインド,牡6,松山,栗東・荒川,差し,34.9,9,8,,35.4,530(+2),阪神,13,中1週,Y,,3,マインドユアビスケッツ,フジキセキ,,
12,6,ケイアイメキラ,セ6,藤懸,栗東・秋山,差し,159.6,16,9,,37.3,510(+8),小倉,84,中11週,Y,,3,パイロ,クロフネ,,
13,7,トウカイポワール,牝5,亀田,栗東・北出,先行,100.5,15,11,,39.4,460(-8),阪神,90,中12週,Y,,3,ヘニーヒューズ,ダイワメジャー,,B
14,7,タイセイミッション,セ5,吉田隼,美浦・伊藤圭,先行,77.0,13,10,,38.1,532(+4),札幌,48,中6週,Y,,3,キタサンブラック,ノヴェリスト,,B
15,8,エブリーポッシブル,牝3,岩田望,栗東・新谷,先行,2.3,1,1,,36.9,454(-4),中京,56,中7週,Y,,2,ニューイヤーズデイ,ダイワメジャー,,
16,8,シゲルソロソロ,牝6,川須,栗東・谷,差し,32.5,8,4,,36.2,486(0),中京,28,中3週,Y,,3,Runhappy,Distorted Humor,,
