馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ダンツシタン,牡3,55.0,太宰,栗東・本田,差し,7.7,3,2,,37.0,,中京,28,中3週,Y,,3,パイロ,ストリートセンス,,B
2,2,ゴッドエスパーダ,牡4,58.0,角田和,栗東・角田,先行,10.3,5,4,,37.5,,中京,28,中3週,Y,,3,レイデオロ,ハーツクライ,,
3,3,リアライズグリント,牡3,55.0,北村友,栗東・矢作,,8.6,4,4,,39.6,,盛岡,26,中3週,,,0,キタサンブラック,Malibu Moon,,
4,4,ラフエイジアン,セ6,58.0,田口,美浦・中舘,追込,26.7,8,4,,37.1,,新潟,57,中7週,Y,,3,アジアエクスプレス,Medicean,,
5,5,ジャイアンバローズ,牡3,55.0,川田,栗東・池江,差し,11.6,6,1,,38.1,,阪神,22,中2週,Y,,3,クリソベリル,Bodemeister,,
6,5,マテンロウブレイブ,牡4,58.0,横山典,栗東・高橋亮,追込,6.8,2,9,,36.5,,阪神,15,中1週,Y,,3,ナダル,ディープインパクト,,
7,6,バッケンレコード,牡4,58.0,川須,栗東・秋山,差し,26.7,9,9,,36.7,,阪神,168,中23週,Y,,3,オルフェーヴル,Unbridled's Song,,
8,6,メイショウコガシラ,牡6,58.0,高倉,栗東・本田,先行,51.8,12,5,,37.6,,中京,50,中6週,Y,,3,メイショウボーラー,Elusive Quality,,
9,7,マンオブザマッチ,牡4,58.0,斎藤,栗東・高橋忠,先行,38.7,10,10,,40.0,,札幌,43,中5週,Y,,3,ファインニードル,Pivotal,,
10,7,ショウナンバンライ,牡3,55.0,池添,栗東・松下,先行,2.1,1,6,,37.9,,新潟,49,中6週,Y,,3,オルフェーヴル,Candy Ride,,
11,8,ポルポラジール,牡5,58.0,田山,栗東・新谷,差し,39.2,11,13,,39.0,,阪神,15,中1週,Y,,3,シニスターミニスター,ルーラーシップ,,
12,8,タマモキャリコ,セ5,58.0,吉村,栗東・宮地,先行,15.4,7,3,,37.8,,阪神,98,中13週,Y,,3,シニスターミニスター,ネオユニヴァース,,
