着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,2,ネブラディスク,牡3,56.0,岩田望,1:45.7,,1,1.9,33.5,栗東福永,448(+14)
2,1,1,リカントロポ,牡3,56.0,田口,1:46.0,2,5,16.2,34.1,栗東梅田,478(+2)
3,4,4,コスモアンソロジー,牡3,56.0,坂井,1:46.0,ハナ,4,14.2,34.4,美浦嘉藤,440(-6)
4,7,9,キングスコール,牡3,56.0,藤岡佑,1:46.0,ハナ,2,3.5,34.7,栗東矢作,498(+6)
5,5,5,オデット,牝3,53.0,☆吉村,1:46.1,クビ,9,69.2,34.4,栗東緒方,446(0)
6,5,6,マイネルバーテクス,牡4,58.0,松若,1:46.2,3/4,12,117.0,34.3,美浦水野,502(-14)
7,6,8,アラタマフェーヴル,牡4,58.0,北村友,1:46.3,クビ,8,60.6,34.8,栗東浜田,496(0)
8,6,7,プリズマジコ,牡4,58.0,秋山稔,1:46.3,ハナ,6,18.6,34.1,栗東高橋忠,444(0)
9,3,3,メイショウヨゾラ,牝4,56.0,松山,1:46.5,1.1/2,3,5.0,34.5,美浦高柳瑞,478(+2)
10,8,12,レッドベルアーム,牡6,58.0,鮫島良,1:46.6,3/4,7,49.9,35.1,栗東河嶋,534(+6)
11,8,11,テンメジャーガール,牝6,56.0,西村淳,1:46.9,2,11,113.8,34.4,栗東高柳大,512(0)
12,7,10,リリーブライト,牡7,58.0,荻野琢,1:47.1,1.1/4,10,103.2,35.7,美浦西田,480(+6)
