馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ビップヴォルフ,牡3,53.0,Ｍデム,栗東・小椋,差し,14.2,5,1,3歳以上1勝クラス,33.6,,中京,36,中4週,Y,,3,シルバーステート,Marju,,
2,2,ブラックオリンピア,牡3,55.0,川田,栗東・友道,先行,1.4,1,2,,35.2,,新潟,43,中5週,Y,,3,キタサンブラック,Pierro,,
3,3,シャドウマスター,牡3,53.0,北村友,栗東・杉山晴,差し,24.8,8,14,,34.9,,中京,28,中3週,Y,,3,キタサンブラック,ヴィクトワールピサ,,
4,4,ニュークレド,牡4,55.0,斎藤,栗東・石坂,差し,17.4,7,9,,33.7,,中京,28,中3週,Y,,3,ブリックスアンドモルタル,ハーツクライ,,
5,5,バンフィエルド,牡7,52.0,河原田,美浦・粕谷,差し,64.0,10,17,,35.8,,新潟,29,中3週,Y,,3,オルフェーヴル,Candy Ride,,
6,6,マテンロウシルビア,牝4,53.0,太宰,栗東・四位,差し,26.9,9,5,,34.4,,小倉,91,中12週,Y,,3,ルーラーシップ,ディープインパクト,,
7,6,メディテラニアン,牡4,57.0,吉村,栗東・池江,差し,12.6,3,3,,34.8,,阪神,106,中14週,Y,,3,サートゥルナーリア,ハーツクライ,,
8,7,アットアブラスト,セ6,54.0,西塚,栗東・小椋,,72.0,11,9,,36.4,,阪神,106,中14週,Y,,3,ゼンノロブロイ,タニノギムレット,,B
9,7,メイショウナルカミ,牡3,53.0,松若,栗東・安達,差し,13.0,4,12,,34.7,,中京,28,中3週,Y,,3,ゴールドシップ,アイルハヴアナザー,,B
10,8,ドゥラエテルノ,牡4,56.0,横山典,栗東・武幸,差し,16.5,6,13,,40.6,,中京,36,中4週,Y,,3,ドゥラメンテ,ハービンジャー,,
11,8,セイキュート,牝4,54.0,横山和,栗東・四位,先行,8.5,2,1,4歳以上1勝クラス,34.0,,阪神,189,中26週,Y,Y,3,サトノダイヤモンド,Equal Stripes,,
