着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,5,ビスケットアソート,牡3,57.0,富田,1:12.2,,3,5.6,36.3,栗東武英,470(0)
2,3,6,ジャスパーブレイズ,牡3,57.0,松本,1:12.3,1/2,5,11.9,37.4,栗東森秀,498(-6)
3,8,15,アルムアポジェ,牝3,55.0,秋山稔,1:12.6,1.1/2,1,2.5,37.6,栗東北出,478(+2)
4,6,12,シャインゴーツ,牡3,57.0,酒井,1:12.7,1,4,11.5,37.0,栗東北出,452(0)
5,5,10,ナムラロダン,牡3,57.0,西村淳,1:12.8,1/2,2,3.1,37.6,栗東長谷川,476(+4)
6,4,7,グラマラス,牝3,55.0,鮫島駿,1:12.9,1/2,8,49.1,36.6,栗東安田,470(+2)
7,1,1,デルニエジョイ,牡3,57.0,田口,1:12.9,アタマ,7,19.7,37.6,栗東鈴木孝,468(-2)
8,7,14,ミルトメテオ,牡3,55.0,△柴田裕,1:13.1,1.1/4,6,14.8,37.2,栗東中竹,498(+2)
9,7,13,マカホウ,牡3,57.0,角田和,1:13.6,3,9,74.6,37.4,栗東田中克,492(+12)
10,4,8,レーヌペスカ,牝3,55.0,吉田隼,1:14.2,3.1/2,15,300.7,37.7,栗東角田,414(-4)
11,5,9,インディクイーン,牝3,52.0,▲川端,1:14.2,ハナ,16,347.0,37.9,栗東中村,472(+4)
12,1,2,ナムラステラ,牝3,55.0,団野,1:14.2,ハナ,11,117.3,38.7,栗東荒川,466(+4)
13,2,3,シュネードリーム,牝3,53.0,◇今村,1:14.6,2,12,121.9,37.7,栗東緒方,446(+6)
14,2,4,クレバーキュート,牡3,57.0,古川吉,1:14.9,2,14,273.2,38.0,栗東秋山,464(+6)
15,6,11,ヤングジャガー,牡3,55.0,△田山,1:15.1,3/4,10,88.2,39.2,栗東羽月,450(0)
16,8,16,モズナツノジン,牡3,54.0,▲和田陽,1:15.1,クビ,13,142.5,38.5,栗東畑端,494(0)
