馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,デンプシー,牡3,56.0,戸崎圭,美浦・上原佑,先行,8.7,4,5,,35.3,,札幌,27,中3週,Y,,3,ビッグアーサー,マルカシェンク,,
2,1,イゾラフェリーチェ,牝5,56.0,津村,美浦・鹿戸,先行,7.7,3,2,,35.1,,福島,83,中11週,Y,,3,サトノクラウン,ハーツクライ,,
3,2,ウィングブルー,牝3,54.0,横山琉,美浦・斎藤誠,,12.3,6,1,3歳以上1勝クラス,35.0,,札幌,20,中2週,Y,,3,アドマイヤマーズ,Anabaa,,
4,2,ジョヴィアン,牡6,58.0,杉原,栗東・井上,追込,12.8,7,9,,33.1,,東京,112,中15週,Y,,3,Justify,マジェスティックウォリアー,,B
5,3,ヴィヴァクラウン,牡5,58.0,岩田康,美浦・杉浦,先行,16.7,11,4,,33.6,,中山,21,中2週,Y,,3,サトノクラウン,タイキシャトル,,
6,3,トラスコンガーデン,牝3,54.0,江田照,美浦・竹内,差し,21.7,12,5,,33.5,,中山,21,中2週,Y,,3,ダノンスマッシュ,Bernardini,,
7,4,ドリーミングアップ,牡5,58.0,横山武,美浦・高橋文,差し,6.7,2,3,,33.1,,中山,21,中2週,Y,,3,エピファネイア,ディープインパクト,,
8,4,レオアジャイル,牝3,54.0,,美浦・杉浦,先行,14.7,9,1,3歳以上1勝クラス,34.2,,函館,90,中12週,Y,,3,ダノンスマッシュ,ステイゴールド,,
9,5,ビッグフラワー,牡5,58.0,ルメー,美浦・加藤征,差し,6.3,1,1,3歳以上1勝クラス,35.9,,中山,6,連闘,Y,,3,ビッグアーサー,ハーツクライ,,
10,5,セレッソデアモール,牝6,56.0,ミシェ,栗東・庄野,先行,26.0,15,4,,34.1,,京都,259,中36週,Y,Y,3,リオンディーズ,アドマイヤコジーン,,
11,6,ビービーエフォート,牝4,56.0,田辺,美浦・高柳瑞,差し,21.7,13,3,,34.8,,札幌,21,中2週,Y,,3,グレーターロンドン,シンボリクリスエス,,
12,6,アイムインディ,牝3,54.0,丹内,美浦・蛯名正,差し,13.8,8,1,3歳以上1勝クラス,35.6,,中山,20,中2週,Y,,3,インディチャンプ,Invincible Spirit,,
13,7,レザンノワール,牡5,58.0,菊沢,美浦・伊藤圭,先行,25.2,14,3,,34.5,,函館,98,中13週,Y,,3,シルバーステート,スペシャルウィーク,,B
14,7,スミッコディスコ,牡3,56.0,横山和,美浦・鈴木慎,先行,16.5,10,1,,34.4,,函館,98,中13週,Y,,3,ダノンプレミアム,Into Mischief,,
15,8,メローネ,牝3,54.0,佐々木,栗東・西園翔,先行,31.9,16,12,,35.8,,小倉,77,中10週,Y,,3,ビッグアーサー,オルフェーヴル,,
16,8,ピコアーガイル,牡5,58.0,小林美,美浦・伊藤大,,12.2,5,2,,34.8,,函館,77,中10週,Y,,3,Justify,Lonhro,,
