馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,エフォートレス,牡5,58.0,横山和,美浦・嘉藤,差し,11.8,6,3,,34.9,480(-4),札幌,27,中3週,Y,,3,エピファネイア,ダイワメジャー,,
2,2,サウンドムーブ,牡3,56.0,津村,栗東・斉藤崇,差し,3.4,1,3,,32.9,448(-6),阪神,21,中2週,Y,,3,リアルスティール,スクリーンヒーロー,,
3,3,ソルトブリーズ,牡5,58.0,横山琉,美浦・田中剛,先行,5.9,3,4,,33.6,462(+2),東京,118,中16週,Y,,3,アドマイヤムーン,Street Cry,,
4,3,フォルラニーニ,牡5,58.0,ルメー,美浦・手塚久,差し,6.8,4,15,,36.4,506(-2),福島,70,中9週,Y,,3,エピファネイア,ステイゴールド,,
5,4,グラニット,牡6,58.0,江田照,美浦・大和田,,39.1,11,15,,35.1,472(0),新潟,35,中4週,Y,,3,ダノンバラード,フサイチコンコルド,,
6,4,アルトゥーム,牡5,58.0,杉原,栗東・藤岡健,差し,77.1,13,8,,36.2,444(+4),小倉,84,中11週,Y,,3,モーリス,ディープインパクト,,
7,5,エスコバル,セ8,58.0,内田博,美浦・高橋文,追込,172.3,14,9,,33.5,532(+12),新潟,48,中6週,Y,,3,モーリス,キングカメハメハ,,B
8,5,インパクトシー,牡4,58.0,佐々木,美浦・大竹,先行,4.5,2,7,,34.4,546(+8),函館,77,中10週,Y,,3,フィエールマン,ダノンシャンティ,,
9,6,ナヴォーナ,牡6,58.0,吉田豊,栗東・矢作,差し,75.0,12,16,,39.4,500(+14),小倉,69,中9週,Y,,3,ロードカナロア,Soldier Hollow,,B
10,6,ウォータークラーク,牡4,58.0,丹内,栗東・石橋,差し,14.9,7,1,,33.9,478(-6),京都,140,中19週,Y,,3,ウォータービルド,キングヘイロー,,
11,7,マイネルフルムーン,牡4,58.0,松岡,栗東・吉田,差し,36.3,10,7,,33.1,462(-12),東京,118,中16週,Y,,3,ウインブライト,アドマイヤムーン,,
12,7,マテンロウブラボー,牡5,58.0,戸崎圭,栗東・野中,差し,9.7,5,7,,33.4,508(0),東京,97,中13週,Y,,3,モーリス,マンハッタンカフェ,,
13,8,セブンマジシャン,牡6,58.0,横山武,栗東・高野,差し,16.5,8,14,,34.7,496(-8),阪神,104,中14週,Y,,3,ジャスタウェイ,メイショウサムソン,,B
14,8,テンミラクルスター,牝4,56.0,岩田康,美浦・辻,差し,35.7,9,11,,33.8,456(-12),新潟,48,中6週,Y,,3,エピファネイア,ディープブリランテ,,
