馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ダノンセンチュリー,牡4,57.0,横山和,美浦・宮田,差し,5.5,1,11,,37.1,,新潟,63,中8週,Y,,3,フィエールマン,Lope de Vega,,
2,1,エイシンディード,牡3,55.0,川又,栗東・大久保,,7.9,4,15,,35.0,,札幌,35,中4週,Y,,3,ファインニードル,キングカメハメハ,,
3,2,スカイロケット,牡6,57.0,高田,栗東・須貝,差し,40.4,15,12,,36.4,,東京,127,中17週,Y,,3,ジャスタウェイ,Royal Applause,,
4,2,ヤマニンサンパ,牡8,58.0,池添,栗東・斉藤崇,差し,9.7,5,13,,32.4,,新潟,50,中6週,Y,,3,ディープインパクト,スウェプトオーヴァーボード,,B
5,3,ラケマーダ,牡6,58.0,Ｍデム,栗東・千田,差し,12.7,6,14,,34.0,,中山,22,中2週,Y,,3,アメリカンペイトリオット,アドマイヤムーン,,
6,3,アサヒ,牡7,57.0,田口,美浦・金成,追込,35.4,14,11,,35.8,,京都,126,中17週,Y,,3,カレンブラックヒル,デインヒル,,B
7,4,アクートゥス,セ6,57.0,西塚,栗東・藤原,差し,13.1,8,3,,33.0,,東京,105,中14週,Y,,3,ルーラーシップ,ディープインパクト,,
8,4,レッドシュヴェルト,牡6,57.0,吉村,美浦・尾関,追込,52.6,16,10,,34.0,,新潟,36,中4週,Y,,3,レッドファルクス,Grand Slam,,
9,5,ラインベック,セ9,58.0,荻野琢,栗東・友道,先行,12.9,7,8,,32.9,,新潟,50,中6週,Y,,3,ディープインパクト,キングカメハメハ,,B
10,5,サブマリーナ,牡5,58.0,川田,栗東・庄野,差し,6.0,2,11,,33.6,,東京,141,中19週,Y,,3,スワーヴリチャード,Bernardini,,
11,6,メイショウシンタケ,牡8,58.0,横山典,栗東・千田,追込,26.2,11,18,,35.9,,阪神,98,中13週,Y,,3,ワールドエース,アドマイヤコジーン,,
12,6,ファインライン,牡5,57.0,小崎,栗東・松永幹,差し,16.2,10,11,,34.9,,阪神,98,中13週,Y,,3,ファインニードル,ディープインパクト,,
13,7,インヴォーグ,牝4,55.0,小沢,栗東・福永,先行,7.6,3,1,,33.7,,阪神,14,中1週,Y,,3,ロードカナロア,マンハッタンカフェ,,
14,7,ショウナンガルフ,牡3,55.0,田山,栗東・須貝,差し,26.9,12,12,,34.5,,福島,91,中12週,Y,,3,ハービンジャー,ハーツクライ,,
15,8,ビップデイジー,牝4,55.0,北村友,栗東・松下,差し,13.7,9,11,,35.5,,東京,98,中13週,Y,,3,サトノダイヤモンド,キングカメハメハ,,
16,8,レディントン,セ5,57.0,松若,栗東・杉山晴,差し,32.0,13,11,,37.1,,函館,77,中10週,Y,,3,サトノアラジン,アフリート,,
