着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,2,マーブルパレス,牝3,53.0,斎藤,1:08.2,,1,3.9,34.6,栗東茶木,414(+4)
2,7,14,フードマン,牡4,58.0,鮫島駿,1:08.3,クビ,5,8.8,34.4,栗東小栗,480(-2)
3,7,13,ヴィヴァクラウン,牡5,58.0,横山琉,1:08.3,クビ,9,20.6,34.1,美浦杉浦,472(+2)
4,4,8,ガットネロ,牝6,56.0,小沢,1:08.3,アタマ,12,67.2,34.6,栗東東田,496(0)
5,8,15,ベビーズブレス,牝4,56.0,舟山,1:08.4,アタマ,7,17.7,34.9,栗東千田,434(+16)
6,5,9,ミニョンマルーン,牝4,56.0,長浜,1:08.4,クビ,6,12.0,35.1,美浦伊藤圭,492(+14)
7,8,16,フミサウンド,牡6,58.0,浜中,1:08.5,アタマ,11,47.6,34.4,美浦鹿戸,458(+2)
8,2,4,エクストラバック,牡5,58.0,池添,1:08.5,アタマ,4,8.8,33.8,栗東前川,514(+10)
9,6,12,フェアリーライズ,牝3,53.0,黛,1:08.5,クビ,15,119.9,34.1,栗東秋山,432(+8)
10,1,1,ハリウッドメモリー,牝4,56.0,横山和,1:08.6,クビ,2,4.2,34.8,栗東長谷川,468(+10)
11,6,11,エクセルゴールド,牡5,58.0,小林美,1:08.6,クビ,16,128.3,35.2,美浦武市,488(+2)
12,4,7,リリーフィールド,牝4,56.0,佐々木,1:08.7,アタマ,3,5.5,34.2,栗東小崎,440(+4)
13,3,6,ライツユーアップ,牝4,56.0,吉田隼,1:08.7,クビ,8,19.3,34.7,栗東角田,456(+10)
14,3,5,ゴキゲンサン,牝6,56.0,岩田康,1:08.8,1/2,10,23.7,34.2,美浦伊藤大,502(+4)
15,5,10,スミレファースト,牝5,56.0,小崎,1:09.0,3/4,14,97.6,35.0,美浦加藤征,456(+4)
16,2,3,ムチャスグラシアス,牝5,56.0,国分恭,1:09.0,アタマ,13,85.4,34.9,美浦菊川,446(+8)
