着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,7,オーロラエックス,牝4,55.0,松山,1:45.0,,2,3.9,33.7,栗東杉山晴,488(-2)
2,3,3,ナムラエイハブ,牡4,57.0,吉田隼,1:45.0,クビ,4,5.2,34.2,栗東長谷川,518(0)
3,8,9,ショウナンマグマ,セ6,58.0,池添,1:45.1,クビ,9,74.2,35.5,美浦尾関,508(+8)
4,2,2,バレエマスター,牡6,57.0,吉村,1:45.2,1/2,6,13.2,33.8,栗東梅田,476(0)
5,4,4,ドクタードリトル,牡5,57.0,岩田望,1:45.3,3/4,7,21.5,33.5,栗東今野,474(0)
6,8,10,ピースワンデュック,牡4,57.0,柴田善,1:45.5,1,1,3.8,34.9,美浦大竹,452(-2)
7,1,1,センツブラッド,牡3,55.0,坂井,1:45.5,ハナ,3,3.9,34.4,栗東斉藤崇,462(+2)
8,5,5,ダンテスヴュー,牡6,57.0,小崎,1:45.5,クビ,10,91.3,34.3,栗東友道,468(0)
9,7,8,マイネルメモリー,牡5,57.0,菱田,1:45.5,アタマ,8,30.1,33.9,栗東宮,460(-4)
10,6,6,シルトホルン,牡5,58.0,浜中,1:45.7,1,5,8.8,34.7,美浦新開,466(+2)
