着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,ベルジュロネット,牡4,57.0,西村淳,1:23.5,,1,2.5,35.8,栗東大久保,550(0)
2,3,4,アッチャゴーラ,牡6,57.0,小崎,1:24.1,3.1/2,10,84.6,36.0,美浦浅利,518(-2)
3,7,12,ラファル,牡4,57.0,岩田望,1:24.2,1/2,4,7.1,35.9,栗東田中克,516(-14)
4,5,8,ポールセン,牡4,57.0,吉村,1:24.2,クビ,3,5.7,36.6,美浦斎藤誠,486(-4)
5,6,11,ノーブルロジャー,牡5,59.0,石川,1:24.3,クビ,7,15.3,35.7,栗東吉岡,500(-2)
6,8,14,ルークススペイ,牡4,57.0,川田,1:24.3,アタマ,2,3.9,36.5,美浦伊藤圭,486(-6)
7,2,2,ロードアウォード,セ6,58.0,高杉,1:24.3,クビ,6,14.3,36.9,栗東吉岡,486(+10)
8,7,13,スマートフォルス,牡6,57.0,坂井,1:24.4,1/2,5,13.6,36.3,栗東吉村,488(+2)
9,4,7,タイセイブレイズ,牡8,57.0,田口,1:24.5,アタマ,13,118.2,36.1,栗東牧浦,466(-4)
10,1,1,ハセドン,牡7,58.0,Mデム,1:24.6,3/4,11,106.6,35.9,美浦大和田,482(+4)
11,5,9,サクセスローレル,牡7,57.0,秋山稔,1:24.8,1,15,300.8,36.5,栗東北出,532(-6)
12,3,5,イスラアネーロ,牡7,58.0,川又,1:24.8,クビ,14,259.4,37.0,栗東吉村,456(0)
13,8,15,エティエンヌ,セ7,57.0,長岡,1:24.9,1/2,12,116.2,36.3,栗東吉田,514(+4)
14,6,10,モンドプリューム,牡6,58.0,幸,1:25.1,1,8,40.9,37.1,美浦水野,512(+4)
15,4,6,ケイアイアニラ,牡6,57.0,菱田,1:26.8,10,9,74.3,39.3,栗東吉岡,536(0)
