馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,マーシヴィガラス,牡6,54.0,佐々木,美浦・的場,先行,27.9,12,1,,37.7,,札幌,30,中3週,Y,,2,ネロ,ホワイトマズル,,B
2,1,キョウエイフロイデ,牝5,54.0,,美浦・中川,差し,8.1,4,4,,34.5,,東京,101,中13週,Y,,3,サトノクラウン,マンハッタンカフェ,,
3,2,ディーズゴールド,牡4,55.0,,美浦・中舘,先行,6.3,2,1,,36.7,,福島,80,中10週,Y,,3,リオンディーズ,ディープインパクト,,
4,2,グレイテストソング,牡4,54.0,国分恭,美浦・小笠,差し,31.5,13,9,,35.9,,東京,108,中14週,Y,,3,モズアスコット,ハーツクライ,,
5,3,サノノワンダー,牡4,55.0,田辺,美浦・栗田,差し,6.1,1,15,,36.8,,京都,115,中15週,Y,,3,ヘニーヒューズ,キングヘイロー,,
6,3,タンゴバイラリン,セ5,54.0,原田和,美浦・栗田,差し,37.0,15,14,,36.3,,東京,121,中16週,Y,,3,イスラボニータ,Smart Strike,,
7,4,オレデイイノカ,牡8,52.0,内田博,美浦・古賀慎,差し,48.8,16,11,,38.8,,新潟,52,中6週,Y,,3,サウスヴィグラス,ダイワメジャー,,
8,4,ブロッケンボウ,牡5,55.0,ミシェ,美浦・松永康,,21.4,10,11,,39.8,,東京,493,中69週,Y,Y,3,タリスマニック,ゼンノロブロイ,,
9,5,ラオラシオン,セ5,55.0,斎藤,美浦・斎藤誠,先行,12.6,8,10,,36.4,,京都,115,中15週,Y,,3,クリエイターII,ゼンノロブロイ,,B
10,5,ブルータス,牡4,56.0,石橋脩,美浦・高柳瑞,差し,9.1,5,14,,39.6,,新潟,52,中6週,Y,,3,リオンディーズ,エンパイアメーカー,,
11,6,ダカラフェスティヴ,牝4,53.0,長浜,美浦・奥平,追込,26.6,11,7,,37.2,,福島,72,中9週,Y,,3,ミッキーグローリー,キングカメハメハ,,
12,6,リフレックス,牡3,54.0,,美浦・金成,先行,6.6,3,2,,37.1,,福島,72,中9週,Y,,3,モーニン,ゼンノロブロイ,,
13,7,ハッスルダンク,セ6,54.0,江田照,美浦・中川,追込,18.6,9,9,,37.8,,福島,72,中9週,Y,,3,ダンカーク,カジノドライヴ,,
14,7,レディーフランシス,牝4,53.0,大野,美浦・和田勇,差し,10.0,6,12,,36.5,,東京,135,中18週,Y,,3,オルフェーヴル,ウォーエンブレム,,
15,8,ゲキザル,牡7,55.0,小林脩,美浦・青木,差し,11.2,7,2,,37.4,,札幌,38,中4週,Y,,3,ザファクター,アフリート,,B
16,8,ルーラーリッチ,セ6,54.0,武藤,美浦・小島,差し,33.1,14,1,,38.9,,新潟,37,中4週,Y,,3,ルーラーシップ,チチカステナンゴ,,B
