着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,ジョヴィアン,牡6,58.0,杉原,1:09.7,,11,29.0,35.0,栗東井上,510(+10)
2,2,3,ウィングブルー,牝3,54.0,横山琉,1:09.8,クビ,5,8.6,35.3,美浦斎藤誠,500(+2)
3,1,2,イゾラフェリーチェ,牝5,56.0,津村,1:09.9,3/4,2,4.9,35.9,美浦鹿戸,506(+4)
4,1,1,デンプシー,牡3,56.0,戸崎圭,1:09.9,アタマ,4,7.4,35.1,美浦上原佑,454(-8)
5,8,16,ピコアーガイル,牡5,58.0,小林美,1:09.9,ハナ,8,19.9,35.8,美浦伊藤大,480(-4)
6,5,9,ビッグフラワー,牡5,58.0,ルメー,1:10.0,1/2,3,6.4,34.7,美浦加藤征,490(+2)
7,4,8,レオアジャイル,牝3,54.0,原,1:10.1,クビ,6,8.9,35.7,美浦杉浦,474(+8)
8,6,12,アイムインディ,牝3,54.0,丹内,1:10.7,4,7,16.1,36.0,美浦蛯名正,458(+2)
9,4,7,ドリーミングアップ,牡5,58.0,横山武,1:10.8,1/2,1,4.9,35.3,美浦高橋文,460(-2)
10,3,6,トラスコンガーデン,牝3,54.0,江田照,1:10.9,クビ,13,40.2,35.7,美浦竹内,452(+6)
11,7,14,スミッコディスコ,牡3,56.0,横山和,1:11.2,1.3/4,9,21.2,36.1,美浦鈴木慎,460(+10)
12,3,5,ヴィヴァクラウン,牡5,58.0,岩田康,1:11.5,2,12,32.7,36.6,美浦杉浦,472(0)
13,8,15,メローネ,牝3,54.0,佐々木,1:11.8,1.1/2,15,75.8,37.0,栗東西園翔,406(-4)
14,6,11,ビービーエフォート,牝4,56.0,田辺,1:12.0,1.1/4,10,25.0,36.7,美浦高柳瑞,418(-6)
15,7,13,レザンノワール,牡5,58.0,菊沢,1:12.0,ハナ,14,57.6,37.1,美浦伊藤圭,462(-2)
16,5,10,セレッソデアモール,牝6,56.0,ミシェ,1:12.2,1.1/4,16,82.4,37.9,栗東庄野,472(-22)
