馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ビルンバウム,セ5,58.0,太宰,栗東・渡辺,,16.1,7,6,,39.6,,中京,36,中4週,Y,,3,マインドユアビスケッツ,ゴールドアリュール,,B
2,2,タガノヘラクレス,牡5,58.0,横山典,栗東・千田,先行,7.4,3,6,,37.7,,小倉,71,中9週,Y,,3,シルバーステート,エンパイアメーカー,,B
3,3,アルベリック,牡5,56.0,柴田裕,栗東・中竹,差し,62.0,12,11,,38.0,,新潟,28,中3週,Y,,3,エイシンヒカリ,キングカメハメハ,,
4,4,ソウルアンドジャズ,セ5,58.0,川須,美浦・武井,先行,4.7,2,2,,38.9,,中京,36,中4週,Y,,3,ブリックスアンドモルタル,Unbridled's Song,,
5,5,レッドボブ,牡4,58.0,亀田,栗東・田中克,先行,59.2,11,11,,40.8,,中京,57,中7週,Y,,3,レッドファルクス,シンボリクリスエス,,B
6,5,マクノス,牝3,53.0,田口,栗東・鈴木孝,先行,14.8,6,1,3歳以上1勝クラス,38.2,,阪神,21,中2週,Y,,3,マクフィ,ゴールドアリュール,,
7,6,タガノアニマシオン,セ4,57.0,田山,栗東・奥村豊,差し,26.2,9,7,,39.1,,中京,36,中4週,Y,,3,アニマルキングダム,フレンチデピュティ,,
8,6,サンライズオスカー,牡3,55.0,藤懸,栗東・石坂,,2.4,1,1,3歳以上1勝クラス,37.5,,阪神,14,中1週,Y,,3,インカンテーション,カジノドライヴ,,B
9,7,ポッドフォルク,牡4,58.0,中井,栗東・武幸,,7.9,4,7,,37.2,,阪神,210,中29週,Y,Y,3,ルヴァンスレーヴ,キングカメハメハ,,
10,7,セイントホース,牡3,51.0,河原田,栗東・谷,差し,12.2,5,12,,39.3,,札幌,35,中4週,Y,,3,ミスターメロディ,ダンスインザダーク,,
11,8,テンエースワン,牡5,58.0,Ｍデム,栗東・大久保,差し,17.5,8,6,,38.9,,中京,57,中7週,Y,,3,ワールドエース,クロフネ,,B
12,8,エンマ,牡4,58.0,高倉,栗東・武英,追込,27.5,10,9,,40.4,,中京,57,中7週,Y,,3,バゴ,ドリームジャーニー,,B
