馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,クリノラピダス,牡4,酒井,栗東・谷,追込,104.1,12,9,,38.1,456(-10),札幌,28,中3週,Y,,3,マクフィ,ネオユニヴァース,,B
2,2,マシン,牡3,川田,栗東・石坂,先行,7.1,4,1,3歳以上1勝クラス,38.5,474(0),中京,29,中3週,Y,,3,クリソベリル,クロフネ,,
3,2,ゼンエスポワール,牡4,角田和,栗東・飯田,先行,5.0,3,2,4歳以上2勝クラス,37.7,518(+8),京都,147,中20週,Y,,3,Practical Joke,Scat Daddy,,
4,3,ハイディージェン,セ5,西塚,栗東・森田,,47.1,9,5,,38.8,474(0),中京,42,中5週,Y,,3,ファインニードル,Sadler's Wells,,B
5,3,ソルチェリア,牡3,,栗東・大根田,,3.4,1,8,,39.7,502(-2),中京,29,中3週,Y,,3,ナダル,エルコンドルパサー,,
6,4,ニシノジェダイ,牡4,田山,栗東・宮本,差し,8.7,5,4,,38.6,470(-12),中京,29,中3週,Y,,3,ゴールドドリーム,バトルライン,,
7,4,ゼットレジーナ,牝5,国分恭,栗東・吉田,先行,201.6,15,13,3歳以上2勝クラス,40.2,450(+16),阪神,455,中64週,Y,Y,3,ニューイヤーズデイ,ハービンジャー,,
8,5,エリカヴェネチア,牝5,高杉,栗東・吉岡,追込,96.4,11,11,,38.8,510(0),新潟,49,中6週,Y,,3,Curlin,Giant's Causeway,,
9,5,フラッシング,牡5,Ｍデム,栗東・牧浦,差し,79.6,10,8,,38.1,484(+4),新潟,21,中2週,Y,,3,ドレフォン,フジキセキ,,
10,6,ヒデノレインボー,牡7,藤懸,栗東・梅田,差し,168.9,13,11,,37.6,488(-12),阪神,106,中14週,Y,,3,シニスターミニスター,ゴールドアリュール,,
11,6,アートレスマインド,牡4,北村友,栗東・坂口,差し,14.7,6,5,,39.5,486(+6),中山,266,中37週,Y,Y,3,マインドユアビスケッツ,ゴールドアリュール,,
12,7,サンライズケヴィン,牡3,松若,栗東・平田,,3.6,2,2,,38.0,500(0),小倉,70,中9週,Y,,3,シニスターミニスター,アフリート,,
13,7,チムニートップス,牡4,小沢,栗東・池添,先行,169.5,14,12,,39.1,496(+6),東京,99,中13週,Y,,3,Tapit,City Zip,,B
14,8,タイガースパーク,牡6,田口,栗東・大橋,差し,25.8,8,3,,37.1,452(+6),中京,29,中3週,Y,,3,リオンディーズ,ストリートセンス,,
15,8,テイエムパイロット,牡4,柴田裕,栗東・秋山,,17.8,7,8,,40.0,506(-2),阪神,15,中1週,Y,,3,パイロ,サウスヴィグラス,,
